pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
CH,2026-07-16,83.4,-2.39,5.17,"Williams, Devin",664761,642207,strikeout,swinging_strike,,,,,13,Alec Bohm strikes out swinging.,R,R,R,PHI,NYM,S,2,,1,2,2026,-1.81,-0.43,-0.7808545870685217,0.8861352002691945,,,,2,9,Bot,,,,,,,7.364872833068023,-121.16297750857224,-2.257124738079282,-19.30559612258312,25.08027964455153,-36.17685579827855,3.406938976,1.719389764,,,,84.1,2736,7.0,823440,682626,676724,683146,666182,596019,621438,805999,701807,53.53,,0.0,0.0,1,0,0,,70,4,Changeup,1,4,1,4,4,1,1,4,Standard,Standard,287,-0.005,-0.176,69.7,8.7,0.600720348,,0.176,,-3,-3,0.005,0.005,31,29,32,30,1,3,4,4,,,3.74,1.81,1.81,12.1,20.867234084536516,-37.798663638235816,40.03651806433719,27.18469158653536,45.08270442385064
CH,2026-07-16,84.4,-2.48,5.12,"Williams, Devin",664761,642207,,ball,,,,,14,,R,R,R,PHI,NYM,B,,,0,2,2026,-1.71,-0.06,1.6636694185233685,1.4428765183333645,,,,2,9,Bot,,,,,,,13.137723315716052,-122.1830172595489,-1.7689560172918992,-19.734156737278614,24.238342196727267,-32.669418567990284,3.406938976,1.719389764,,,,85.3,2621,7.2,823440,682626,676724,683146,666182,596019,621438,805999,701807,53.32,,,,,,,,70,3,Changeup,1,4,1,4,4,1,1,4,Standard,Standard,277,0.0,0.024,,,,,-0.024,,-3,-3,0.005,0.005,31,29,32,30,1,3,4,4,,,3.3,1.71,1.71,9.8,,,,,
FF,2026-07-16,94.2,-2.32,5.27,"Williams, Devin",664761,642207,,foul,,,,,3,,R,R,R,PHI,NYM,S,,,0,1,2026,-1.24,1.05,0.4241215290133309,3.346942671333878,,,,2,9,Bot,,,,,,,10.054041272459449,-136.92475050761956,-1.5083887432957055,-17.849760422339685,29.55887947317206,-18.873421608605906,3.406938976,1.719389764,220,75.6,43,96.1,2382,7.4,823440,682626,676724,683146,666182,596019,621438,805999,701807,53.09,,,,,,,,70,2,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,235,0.0,-0.062,62.2,6.2,,,0.062,88.0,-3,-3,0.005,0.005,31,29,32,30,1,3,4,4,,,1.52,1.24,1.24,20.7,-4.276011057865782,26.43258833530833,26.171269296286376,43.33902958897171,11.487787494306405
FF,2026-07-16,93.8,-2.29,5.39,"Williams, Devin",664761,642207,,swinging_strike,,,,,12,,R,R,R,PHI,NYM,S,,,0,0,2026,-1.16,1.21,0.239413377282295,3.649039762871261,,,,2,9,Bot,,,,,,,9.244707116250453,-136.3457548844592,-1.3920492203062296,-16.39820699885414,27.978374883472267,-16.874508328285003,3.406938976,1.719389764,,,,95.8,2329,7.4,823440,682626,676724,683146,666182,596019,621438,805999,701807,53.14,,,,,,,,70,1,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,232,0.0,-0.044,66.8,6.3,1.121386008,,0.044,,-3,-3,0.005,0.005,31,29,32,30,1,3,4,4,,,1.37,1.16,1.16,23.3,10.56846367554772,25.824136683483164,21.899774532158578,41.03367815370256,11.937232975274863
FF,2026-07-16,95.2,-2.4,5.23,"Williams, Devin",669016,642207,field_out,hit_into_play,,,,,5,Brandon Marsh lines out to left fielder Tyrone Taylor.,R,L,R,PHI,NYM,X,7,line_drive,2,1,2026,-1.26,0.97,0.03012767937914,2.5335580670679203,,,,1,9,Bot,72.65,96.13,,,,,9.365536201875477,-138.44038860407116,-3.575939532533771,-18.133565024590425,27.371213501010047,-18.97282507767921,3.312155512,1.671555118,289,93.6,18,97.6,2394,7.4,823440,682626,676724,683146,666182,596019,621438,805999,701807,53.07,0.509,0.482,0.0,1,0,0,4,69,4,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,240,-0.016,-0.312,73.8,6.5,,0.642,0.312,93.6,-3,-3,0.021,0.021,31,28,32,29,1,3,4,4,,,1.52,1.26,-1.26,20.4,-7.321063443591087,13.487013975998368,40.44380890679915,40.05581657017212,20.152087606676176
FF,2026-07-16,95.9,-2.38,5.22,"Williams, Devin",669016,642207,,ball,,,,,12,,R,L,R,PHI,NYM,B,,,1,1,2026,-1.21,1.03,1.276287734212838,2.9095577810540663,,,,1,9,Bot,,,,,,,12.55464642229403,-139.22926183291398,-2.7848656174255244,-18.35608658012468,26.996216576271557,-18.299487609349327,3.312155512,1.671555118,,,,98.2,2387,7.4,823440,682626,676724,683146,666182,596019,621438,805999,701807,53.08,,,,,,,,69,3,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,237,0.004,0.057,,,,,-0.057,,-3,-3,0.017,0.017,31,28,32,29,1,3,4,4,,,1.44,1.21,-1.21,19.7,,,,,
CH,2026-07-16,82.6,-2.45,5.16,"Williams, Devin",669016,642207,,ball,,,,,13,,R,L,R,PHI,NYM,B,,,0,1,2026,-1.87,-0.46,-1.9817964740274887,0.2428580231355281,,,,1,9,Bot,,,,,,,4.82542033691841,-120.15817670728914,-3.534139817086916,-19.07188796460123,23.64336278657594,-36.12928476691315,3.312155512,1.671555118,,,,83.5,2766,6.9,823440,682626,676724,683146,666182,596019,621438,805999,701807,53.59,,,,,,,,69,2,Changeup,1,4,1,4,4,1,1,4,Standard,Standard,283,0.001,0.035,,,,,-0.035,,-3,-3,0.016,0.016,31,28,32,29,1,3,4,4,,,3.81,1.87,-1.87,9.9,,,,,
FF,2026-07-16,95.5,-2.23,5.3,"Williams, Devin",669016,642207,,foul,,,,,12,,R,L,R,PHI,NYM,S,,,0,0,2026,-1.33,1.33,0.8300586550437856,3.09867111281263,,,,1,9,Bot,,,,,,,11.21580493106462,-138.64197555663463,-3.094405069558937,-19.610602666612294,29.379771604250102,-14.476791678776822,3.312155512,1.671555118,189,68.2,54,97.5,2401,7.4,823440,682626,676724,683146,666182,596019,621438,805999,701807,53.05,,,,,,,,69,1,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,236,-0.002,-0.043,68.1,5.9,,,0.043,88.0,-3,-3,0.018,0.018,31,28,32,29,1,3,4,4,,,1.17,1.33,-1.33,21.1,0.8763807362204531,5.475870836163489,37.26563551900795,28.938587420752903,24.50049900487558
CH,2026-07-16,83.2,-2.43,5.04,"Williams, Devin",547180,642207,field_out,hit_into_play,,,,,13,"Bryce Harper grounds out, second baseman Brett Baty to first baseman Jared Young.",R,L,R,PHI,NYM,X,4,ground_ball,2,2,2026,-1.81,-0.58,-0.059413255183226,1.0493694214551152,,,,0,9,Bot,151.11,150.51,,,,,9.121086877553928,-120.8417981793814,-1.3046521288387802,-19.53596950831118,22.356810952523613,-37.877640177932825,3.26476378,1.647637795,92,91.9,6,84.5,2733,7.1,823440,682626,676724,683146,666182,596019,621438,805999,701807,53.4,0.471,0.429,0.0,1,0,0,4,68,5,Changeup,1,4,1,4,4,1,1,4,Infield shade,Standard,286,-0.021,-0.238,78.9,7.2,,0.533,0.238,91.9,-3,-3,0.039,0.039,31,33,32,34,1,3,4,4,,,3.88,1.81,-1.81,9.2,8.633856985136974,-2.9442488873295813,47.42710877171511,37.1178259371148,33.16882620090101
FF,2026-07-16,94.2,-2.37,5.4,"Williams, Devin",547180,642207,,ball,,,,,12,,R,L,R,PHI,NYM,B,,,1,2,2026,-1.2,1.36,0.2990801285830577,3.85105828639588,,,,0,9,Bot,,,,,,,9.722668936942425,-136.87684560458808,-1.2849543318361558,-17.14234988578043,28.126564121742657,-14.85007881172422,3.26476378,1.647637795,,,,96.1,2379,7.3,823440,682626,676724,683146,666182,596019,621438,805999,701807,53.2,,,,,,,,68,4,4-Seam Fastball,1,4,1,4,4,1,1,4,Infield shade,Standard,229,0.004,0.048,,,,,-0.048,,-3,-3,0.035,0.035,31,33,32,34,1,3,4,4,,,1.2,1.2,-1.2,19.3,,,,,
