game_pk,game_time,batter,batter_name,pitcher,pitcher_name,has_platoon_advantage,park_factor,temp,wind_speed,pred_hr_prob,edge_pct,kelly_fraction,ev_value,ev_percent,kelly_multiplier,base_model_prob,physics_delta,blend_weight_physics,probability_mode,best_book,best_market_odds_american,best_market_implied_prob,fair_odds_american,prob_edge_abs,elite_ev_signal,release_window_sniper_signal,line_release_window_flag,nrfi_under_drag_score,physics_hr_prob,physics_per_pa_hr_prob,density_altitude_ft,air_density_kg_m3,drag_multiplier,pitch_micro_matchup_score,vaa_attack_angle_score,umpire_catcher_cascade,fatigue_index,spin_decay_rpm,spin_decay_flag,lineup_protection_woba_proxy,context_multiplier,model_name,prediction_timestamp,actual_hr,plate_apps,brier_error,prob_bucket
824409,6:40 PM,621439,Byron Buxton,800048,Parker Messick,0,104,71,5,0.1314872876237454,46.1,0.0,0.0,0.0,0.5,0.080742349972168,0.0507449376515773,0.45,blended,,,,661,0.0,False,False,0,0.2284989339313564,0.1935088780867844,0.0733991038259987,0.0,1.0969838077964922,1.1166983425768642,0.9997234335050048,1.0333087493232782,1.0,7.188888888888888,-27.53297064777325,0.0,0.071094527363184,1.5307741040768572,XGBoost+LightGBM,2026-07-21T21:19:27.339146,0,3,0.01728890680664955,"(0.1, 0.15]"
824409,6:40 PM,680777,Ryan Jeffers,800048,Parker Messick,0,104,71,5,0.1163695975214083,29.3,0.0,0.0,0.0,0.5,0.1007510764521029,0.0156185210693054,0.45,blended,,,,759,0.0,False,False,0,0.2284989339313564,0.1354589010505594,0.0511687883228654,0.0,1.0969838077964922,1.1166983425768642,0.9997234335050048,1.0333087493232782,1.0,24.0,-27.53297064777325,0.0,0.0636448629336538,1.3953386430964425,XGBoost+LightGBM,2026-07-21T21:19:27.339146,1,3,0.780802688184478,"(0.1, 0.15]"
824409,6:40 PM,605137,Josh Bell,800048,Parker Messick,0,104,71,5,0.0841288201642884,-6.5,0.0,0.0,0.0,0.5,0.0674101317664197,0.0167186883978686,0.45,blended,,,,1089,0.0,False,False,0,0.2284989339313564,0.1045627726505723,0.0399459225492673,0.0,1.0969838077964922,1.1166983425768642,0.9997234335050048,1.0333087493232782,1.0,36.49104477611941,-27.53297064777325,0.0,0.0587914703222428,1.298808991236926,XGBoost+LightGBM,2026-07-21T21:19:27.339146,0,3,0.007077658382235178,"(0.05, 0.1]"
824409,6:40 PM,668904,Royce Lewis,800048,Parker Messick,0,104,71,5,0.099762348362851,10.8,0.0,0.0,0.0,0.5,0.0816308809340539,0.018131467428797,0.45,blended,,,,902,0.0,False,False,0,0.2284989339313564,0.1219230307758251,0.0485549400150469,0.0,1.0969838077964922,1.1166983425768642,0.9997234335050048,1.0333087493232782,1.0,26.608053691275167,-27.53297064777325,0.0,0.0680285743652996,1.3904799182340737,XGBoost+LightGBM,2026-07-21T21:19:27.339146,0,2,0.00995252615087084,"(0.05, 0.1]"
824409,6:40 PM,605170,Victor Caratini,800048,Parker Messick,0,104,71,5,0.0733909214408599,-18.5,0.0,0.0,0.0,0.5,0.0562662356798746,0.0171246857609852,0.45,blended,,,,1263,0.0,False,False,0,0.2284989339313564,0.0943210929265085,0.0384247324574162,0.0,1.0969838077964922,1.1166983425768642,0.9997234335050048,1.0333087493232782,1.0,25.86028368794326,-27.53297064777325,0.0,0.05590508667235,1.3607162016933387,XGBoost+LightGBM,2026-07-21T21:19:27.339146,0,2,0.00538622734993847,"(0.05, 0.1]"
824409,6:40 PM,665019,Kody Clemens,800048,Parker Messick,0,104,71,5,0.0901194445605644,32.5,0.0119,0.3252859494200648,32.528594942006485,0.5,0.0565578543671568,0.0335615901934075,0.45,blended,williamhill_us,1300.0,0.0714285714285714,1010,0.0221194445605644,False,False,0,0.2284989339313564,0.1311391659080625,0.0570948499654591,0.0,1.0969838077964922,1.1166983425768642,0.9997234335050048,1.0333087493232782,1.0,36.245893719806766,-27.53297064777325,0.0,0.0283452893352462,1.217418690845026,XGBoost+LightGBM,2026-07-21T21:19:27.339146,0,2,0.00812151428790464,"(0.05, 0.1]"
824409,6:40 PM,807712,Luke Keaschall,800048,Parker Messick,0,104,71,5,0.0376081426292342,5.1,0.0009,0.0505067773529133,5.050677735291331,0.5,0.0268033394887026,0.0108048031405316,0.45,blended,hardrockbet_oh,5000.0,0.0196078431372549,2559,0.0018081426292342,False,False,0,0.2284989339313564,0.0508140131343285,0.0223431563915492,0.0,1.0969838077964922,1.1166983425768642,0.9997234335050048,1.0266469994586227,1.0,30.07647058823529,-27.53297064777325,0.0,0.0284552845528455,1.247766046346532,XGBoost+LightGBM,2026-07-21T21:19:27.339146,0,2,0.0014143723920208224,"(-0.001, 0.05]"
824409,6:40 PM,668952,Ryan Kreidler,800048,Parker Messick,0,104,71,5,0.0334981918070224,31.9,0.0042,0.3188264490953711,31.88264490953712,0.5,0.0245247069072845,0.0089734848997378,0.45,blended,hardrockbet_oh,10000.0,0.0099009900990099,2885,0.0080981918070224,False,False,0,0.2284989339313564,0.0444657844622575,0.0214332069506564,0.0,1.0969838077964922,1.1166983425768642,0.9997234335050048,1.0333087493232782,1.0,34.0260162601626,-27.53297064777325,0.0,0.105,1.2532480151728584,XGBoost+LightGBM,2026-07-21T21:19:27.339146,0,2,0.0011221288543400625,"(-0.001, 0.05]"
823437,6:40 PM,607208,Trea Turner,680736,Justin Wrobleski,0,114,71,5,0.1155397833564189,154.5,0.0367,1.5449291488197994,154.49291488197994,0.5,0.111533519019057,0.0040062643373618,0.45,blended,ballybet,19900.0,0.005,766,0.0701397833564189,True,False,0,0.2526073823265945,0.1204363286576389,0.043172587050735,0.0,1.1841099749988393,1.0345322865819122,0.950996,1.0309942761178752,1.0,29.73720930232558,-57.648883861236754,0.0,0.0589704383282364,1.1625468511604258,XGBoost+LightGBM,2026-07-21T21:19:27.339146,0,3,0.013349441538048214,"(0.1, 0.15]"
823437,6:40 PM,656941,Kyle Schwarber,680736,Justin Wrobleski,0,114,71,5,0.1699519770382338,54.6,0.0337,0.5464238129047663,54.64238129047663,0.5,0.151477423251972,0.0184745537862617,0.45,blended,espnbet,1000.0,0.0909090909090909,488,0.0600519770382338,True,False,0,0.2526073823265945,0.1925319872214426,0.0729242458172284,0.0,1.1841099749988393,1.0345322865819122,1.29727865,1.0309942761178752,1.0,32.11743119266055,-57.648883861236754,0.0,0.0497584541062801,1.5370497115620247,XGBoost+LightGBM,2026-07-21T21:19:27.339146,0,3,0.028883674499204353,"(0.15, 0.2]"
