team_side,pair_leg_1,pair_leg_2,opposing_pitcher,leg1_prob,leg2_prob,combo_prob,correlation_uplift
home_822871,Wyatt Langford,Jake Burger,Noah Schultz,0.26514259735746337,0.15893644381209326,0.04719772011034858,1.12
home_824165,Yordan Alvarez,Jose Altuve,Tyler Phillips,0.2125817148129857,0.15473419113649517,0.03684089885503601,1.12
away_824329,Luis García Jr.,CJ Abrams,Michael Lorenzen,0.21571541853622117,0.15341226195735802,0.03474805981155588,1.05
away_824652,Gleyber Torres,Dillon Dingler,David Peterson,0.15506263049155827,0.1997974923846771,0.03469885970295933,1.12
away_823437,Shohei Ohtani,Max Muncy,Zack Wheeler,0.2018425956134826,0.13008646491842538,0.029407828501315295,1.12
away_822871,Munetaka Murakami,Andrew Benintendi,Kumar Rocker,0.15665373597146198,0.13904784166906853,0.024396247541375263,1.12
away_824085,Heliot Ramos,Willy Adames,Luinder Avila,0.15637971288943492,0.13473315359372656,0.022123008469458853,1.05
home_824005,Zach Neto,Vaughn Grissom,Matthew Liberatore,0.17178367912838055,0.09870030635047046,0.01898971396669993,1.12
home_824895,Drake Baldwin,Michael Harris II,Walker Buehler,0.15055466523267502,0.11059605334921269,0.018648842002611278,1.12
away_823760,Juan Soto,Francisco Lindor,Brandon Sproat,0.1383168825981932,0.11573608487954645,0.0179292450004178,1.12
home_824652,Pete Crow-Armstrong,Carson Kelly,Framber Valdez,0.1716935112435164,0.09130739385755182,0.016460731406592644,1.05
home_823437,Kyle Schwarber,Alec Bohm,Justin Wrobleski,0.1514541859865904,0.09574088743548942,0.015225376080784624,1.05
away_822787,Jonathan Aranda,Jonny DeLuca,Kevin Gausman,0.08017635836555453,0.14581181037036717,0.013093539157647022,1.12
away_824409,Byron Buxton,Royce Lewis,Parker Messick,0.13010202471646412,0.09419634557896259,0.012867892044750527,1.05
away_823114,Sal Stewart,Eugenio Suárez,Luis Castillo,0.10503567925237728,0.11582748209662971,0.012774319171017675,1.05
home_824329,Jake McCarthy,Willi Castro,Carson Palmquist,0.11574191778364451,0.10184238720920241,0.012376804867620475,1.05
away_824165,Kyle Stowers,Liam Hicks,Tatsuya Imai,0.12880365515785497,0.08453099113297922,0.012194448707889228,1.12
home_825056,Ketel Marte,Max Kepler,Jack Perkins,0.12520076434528984,0.07061890959378861,0.009283618531291919,1.05
home_824409,Brayan Rocchio,Rhys Hoskins,Kendry Rojas,0.07229461406323047,0.1185147938833768,0.008996380348811134,1.05
away_824895,Fernando Tatis Jr.,Ty France,Reynaldo López,0.07986953262512736,0.10252238990847892,0.00859783613388135,1.05
home_822787,Nathan Lukes,George Springer,Drew Rasmussen,0.07419974524165013,0.07249344298197788,0.005647944751000491,1.05
home_824085,Carter Jensen,Salvador Perez,Tyler Mahle,0.08262968328018452,0.055473009167717635,0.004812903037033645,1.05
away_824005,JJ Wetherholt,Jordan Walker,Walbert Ureña,0.050414879051292855,0.07967708992097597,0.004217756394101238,1.05
home_823760,Jackson Chourio,Garrett Mitchell,Zac Thornton,0.04217081736638882,0.023844199931935504,0.0010558058706061787,1.05
